data;temp_avg;temp_min;temp_max;precip;Fim de semana;Consumo_CERVEJA
01/01/2015;27,3;23,9;32,5;0;FALSO;25.461
01/02/2015;27,02;24,5;33,5;0;FALSO;28.972
01/03/2015;24,82;22,4;29,9;0;VERDADEIRO;30.814
01/04/2015;23,98;21,5;28,6;1,2;VERDADEIRO;29.799
01/05/2015;23,82;21;28,3;0;FALSO;28.900
01/06/2015;23,78;20,1;30,5;12,2;FALSO;28.218
01/07/2015;24;19,5;33,7;0;FALSO;29.732
01/08/2015;24,9;;32,8;48,6;FALSO;28.397
01/09/2015;28,2;21,9;34;4,4;FALSO;24.886
01/10/2015;26,76;22,1;34,2;0;VERDADEIRO;37.937
01/11/2015;27,62;22,2;34,8;3,4;VERDADEIRO;36.254
01/12/2015;25,96;21,4;35,4;0;FALSO;25.743
1/13/2015;25,52;21,2;34,8;0,8;FALSO;26.990
1/14/2015;25,96;0;34;1,6;FALSO;31.825
1/15/2015;25,86;21,5;32,8;3;FALSO;25.724
1/16/2015;26,5;22,3;32,7;2;FALSO;29.938
1/17/2015;28,86;22;35,8;0;VERDADEIRO;37.690
1/18/2015;28,26;23,4;35,6;0;VERDADEIRO;30.524
1/19/2015;28,22;22,7;36,5;3,7;FALSO;29.265
1/20/2015;27,68;23,3;35,6;0,6;FALSO;35.127
1/21/2015;25,32;22,7;30,9;0;FALSO;29.130
1/22/2015;21,74;19,2;0;31;;25.795
1/23/2015;21,04;18,5;26,1;3,6;FALSO;21.784
1/24/2015;23,12;19;29,4;13;VERDADEIRO;28.348
1/25/2015;24,4;18,1;30;0;VERDADEIRO;31.088
1/26/2015;22,4;18,9;28,7;20,8;FALSO;21.520
1/27/2015;23,6;20,5;28,7;1,2;FALSO;29.972
1/28/2015;25,68;20,1;29,9;4,9;;22.603
1/29/2015;25;21,5;29,2;0;FALSO;22.696
1/30/2015;22,8;20,9;26,9;0;FALSO;26.845
1/31/2015;21,64;18,5;24,3;0,2;VERDADEIRO;27.030
02/01/2015;24,16;20,6;28;0;VERDADEIRO;32.057
02/02/2015;22,48;20,7;26,5;4,5;FALSO;24.097
02/03/2015;23,16;18;31,1;1,6;FALSO;31.655
02/04/2015;22,12;19,9;23,7;3,2;FALSO;24.738
02/05/2015;20,28;19,1;22,9;5,6;FALSO;19.950
02/06/2015;21,06;17,9;25,4;18,4;FALSO;22.821
02/07/2015;21,86;17,3;28,7;16,7;VERDADEIRO;28.893
02/08/2015;22,76;17,1;29,5;10,4;VERDADEIRO;29.926
02/09/2015;24;19,3;30,7;0;FALSO;24.062
02/10/2015;23,92;20,1;29;32,2;FALSO;21.137
02/11/2015;25,38;19,9;30,4;2,2;FALSO;26.805
02/12/2015;27,66;23,1;32,7;0;FALSO;26.389
2/13/2015;25,54;22,5;32,1;0;FALSO;24.219
2/14/2015;24,32;21,1;31,6;0;VERDADEIRO;30.231
2/15/2015;22,9;20;27,6;17,4;VERDADEIRO;24.968
2/16/2015;21,6;18,8;27,3;22,7;FALSO;25.343
2/17/2015;22,76;19,7;28;85,3;FALSO;17.399
2/18/2015;22,22;19,9;26,4;13,4;FALSO;21.392
2/19/2015;23,92;19,9;28,5;2,4;FALSO;22.922
2/20/2015;24,72;21,7;28,2;0;FALSO;24.567
2/21/2015;25,2;21,4;31,1;0;VERDADEIRO;30.943
2/22/2015;24,44;20,4;30,8;0;VERDADEIRO;30.825
2/23/2015;25,4;20,7;31,4;0;FALSO;25.692
2/24/2015;24,3;20,5;31,9;0;FALSO;26.959
2/25/2015;22,24;19,3;29,3;2;FALSO;25.366
2/26/2015;24,1;19,2;30,3;34,4;FALSO;22.784
2/27/2015;24,64;20,4;31,4;0,6;FALSO;26.241
2/28/2015;22,4;19,7;27,7;0;VERDADEIRO;26.467
03/01/2015;21,26;18,2;26,3;3;VERDADEIRO;27.475
03/02/2015;22,16;17,2;29,2;0;FALSO;28.749
03/03/2015;23,16;19,5;29,5;0;FALSO;24.146
03/04/2015;23,68;18,9;30,5;0;FALSO;22.988
03/05/2015;24,42;19,7;31,6;0;FALSO;30.300
03/06/2015;22,6;19,4;28,5;0;FALSO;22.654
03/07/2015;21,92;19,4;26,6;38,2;VERDADEIRO;29.090
03/08/2015;22,2;19,7;24,4;69,2;VERDADEIRO;24.619
03/09/2015;21,36;19,7;23,3;77;FALSO;20.016
03/10/2015;23,12;21,2;26,9;9,7;FALSO;23.042
03/11/2015;22,88;20,1;28,1;9,5;FALSO;22.933
03/12/2015;22,26;19,2;26,9;1,2;FALSO;22.409
3/13/2015;22,34;20;26,6;0;FALSO;21.281
3/14/2015;22,88;19,9;27,9;12,2;VERDADEIRO;28.844
3/15/2015;22,08;19,1;26,8;0,3;VERDADEIRO;32.872
3/16/2015;21,92;18,6;29,4;22,4;FALSO;20.903
3/17/2015;21,92;18,6;25,6;24,2;FALSO;26.275
3/18/2015;21,24;19,7;24,1;0;FALSO;20.167
3/19/2015;21,78;19,2;27,1;3,2;FALSO;23.628
3/20/2015;21,64;18,9;28,2;7,4;FALSO;24.213
3/21/2015;20,88;18,5;25,3;14,7;VERDADEIRO;28.631
3/22/2015;19,7;18,1;22,8;1,7;VERDADEIRO;25.855
3/23/2015;19,88;17,1;23,3;19,2;FALSO;21.406
3/24/2015;20,98;17,4;26,3;0;FALSO;21.617
3/25/2015;21,56;17,1;27,9;0;FALSO;22.401
3/26/2015;22,98;18,3;29,8;0;FALSO;27.989
3/27/2015;23,32;18;30,8;0;FALSO;24.974
3/28/2015;23,28;19,1;29,5;0;VERDADEIRO;29.760
3/29/2015;22,14;20,5;26,6;0;VERDADEIRO;26.116
3/30/2015;22,5;19;25,9;18,6;FALSO;25.850
3/31/2015;23,14;20,1;29;1;FALSO;24.925
04/01/2015;22,52;19,2;27,5;0;FALSO;21.979
04/02/2015;20,92;18,2;26,2;0;FALSO;22.116
04/03/2015;21,02;16,3;27,2;0;FALSO;24.867
04/04/2015;22,36;17,9;29,4;0;VERDADEIRO;33.450
04/05/2015;22,82;20,1;26,4;0;VERDADEIRO;32.713
04/06/2015;21,36;18,5;27,7;0;FALSO;22.356
04/07/2015;17,38;16,1;20;7,1;FALSO;21.004
04/08/2015;18,68;14,7;24,3;0,4;FALSO;23.362
04/09/2015;19,4;15,9;;0;FALSO;20.298
04/10/2015;20,46;17;25,5;0;FALSO;24.862
04/11/2015;21,74;17,2;28,4;0;VERDADEIRO;30.505
04/12/2015;19,92;16,8;25,7;0;VERDADEIRO;25.070
4/13/2015;20,88;18,1;25,7;0;FALSO;22.620
4/14/2015;21,7;18,4;28,8;0;FALSO;22.001
4/15/2015;21,94;18,5;27,4;0;FALSO;23.469
4/16/2015;21,26;18,6;26,7;25,4;FALSO;21.735
4/17/2015;21,42;18,4;27;37,2;FALSO;21.593
4/18/2015;23,36;18,2;29,3;0;VERDADEIRO;33.822
4/19/2015;22,5;20,3;27,2;0;VERDADEIRO;28.028
4/20/2015;24;19,3;29,2;20,2;FALSO;24.304
4/21/2015;22,52;19,3;29;0;FALSO;31.108
4/22/2015;20,06;18,9;21,6;2,4;FALSO;19.113
4/23/2015;21,2;18,6;24,9;14,6;FALSO;23.198
4/24/2015;22,52;19,3;0;0;FALSO;24.388
4/25/2015;19,18;17,4;23,3;0;VERDADEIRO;27.420
4/26/2015;19,04;16,1;23,7;0,8;VERDADEIRO;30.479
4/27/2015;19,82;;24,9;0;FALSO;21.838
4/28/2015;20,26;17,2;26,9;0;FALSO;20.812
4/29/2015;18,66;16,8;22,7;0;FALSO;19.761
4/30/2015;16,22;14,7;18,7;0;FALSO;20.452
05/01/2015;17,34;13,4;22;0;FALSO;17.939
05/02/2015;19,26;14,7;26,4;0;VERDADEIRO;25.272
05/03/2015;21,04;15,8;26,3;0;VERDADEIRO;28.049
05/04/2015;19,96;17,9;22,3;1;FALSO;25.317
05/05/2015;18,14;16,6;20,8;9,9;FALSO;21.826
05/06/2015;17,76;15,9;20,4;0;FALSO;20.680
05/07/2015;17,8;15,8;21,7;0;FALSO;19.143
05/08/2015;16,14;13,9;19,2;0;FALSO;18.146
05/09/2015;18,04;13,7;26,1;0;VERDADEIRO;25.489
05/10/2015;16,94;13,7;21;0;VERDADEIRO;23.537
05/11/2015;17,86;15,7;20,6;22,2;FALSO;16.956
05/12/2015;17,12;14,2;21,7;0;FALSO;19.052
5/13/2015;16,34;14,7;18,9;2,8;FALSO;17.287
5/14/2015;16,72;14,2;21;0;FALSO;20.300
5/15/2015;16,84;13,6;21,5;0;FALSO;20.538
5/16/2015;17,18;13,2;22,3;0;VERDADEIRO;23.702
5/17/2015;18,26;15,4;22,4;0;VERDADEIRO;28.411
5/18/2015;18,6;16,6;21,3;0;FALSO;21.073
5/19/2015;18,64;17;22,9;0;FALSO;24.215
5/20/2015;18,74;15,9;23,3;0,2;FALSO;19.525
5/21/2015;19,46;16,3;25;0;FALSO;20.786
5/22/2015;20,26;16,3;25,4;0;FALSO;20.429
5/23/2015;19,94;15,9;24,4;0;VERDADEIRO;27.250
5/24/2015;21,8;17,9;26,3;0;VERDADEIRO;31.387
5/25/2015;22,06;17,5;27,4;0;FALSO;26.075
5/26/2015;21,28;19,7;24,8;0;FALSO;22.162
5/27/2015;22,94;19,7;27,1;0;FALSO;24.258
5/28/2015;18,56;16,8;23,2;1,8;FALSO;24.683
5/29/2015;17,68;15,3;21,9;7,2;FALSO;21.245
5/30/2015;17,52;13,1;22,9;0;VERDADEIRO;25.937
5/31/2015;16,28;13,6;18,4;5,6;VERDADEIRO;26.081
06/01/2015;16,28;15,2;18;2,2;FALSO;16.228
06/02/2015;16,04;15;17,5;0,5;FALSO;20.106
06/03/2015;17,94;15;21,7;0;FALSO;21.055
06/04/2015;18,36;14,6;24,1;0;FALSO;22.772
06/05/2015;18,32;14,1;25,3;0;FALSO;25.142
06/06/2015;19,66;13,8;26,1;0;VERDADEIRO;31.129
06/07/2015;20,62;15,9;26,2;0;VERDADEIRO;30.498
06/08/2015;20,86;15,2;26,4;0;FALSO;26.150
06/09/2015;20,32;15,2;26;0;FALSO;21.327
06/10/2015;20,54;15,5;26,2;0;FALSO;22.008
06/11/2015;22,72;17,5;26,9;0;FALSO;24.615
06/12/2015;18,8;16,9;23,5;0;FALSO;22.375
6/13/2015;21,1;15,5;27,4;0;VERDADEIRO;29.607
6/14/2015;22,76;18,1;27,3;0;VERDADEIRO;32.983
6/15/2015;16,02;13,1;;0;FALSO;19.119
