ClienteID;genero;Idoso;Parceiro;Dependentes;Tenure;ServiçoFone;Multiplas Linhas;Internet;SegurançaOnline;OnlineBackup;Proteção;SuporteTecnico;StreamingTV;StreamingMovies;Contrato;ContaDigital;MetododePagamento;TaxasMensais;Taxas Totais;Atrito
7590-VHVEG;Mulher;0;Sim;Não;1;Não;Não;DSL;Não;Sim;Não;Não;Não;Não;Mês a Mês;Sim;Pagamento digital;29.85;29.85;Não
5575-GNVDE;Homem;0;Não;Não;34;Sim;Não;DSL;Sim;Não;Sim;Não;Não;Não;Um ano;Não;Boleto;56.95;1889.5;Não
3668-QPYBK;Homem;0;Não;Não;2;Sim;Não;DSL;Sim;Sim;Não;Não;Não;Não;Mês a Mês;Sim;Boleto;53.85;108.15;Sim
7795-CFOCW;Homem;0;Não;Não;45;Não;Não;DSL;Sim;Não;Sim;Sim;Não;Não;Um ano;Não;Débito automatico;42.3;1840.75;Não
9237-HQITU;Mulher;0;Não;Não;2;Sim;Não;Fibra Ótica;Não;Não;Não;Não;Não;Não;Mês a Mês;Sim;Pagamento digital;70.7;151.65;Sim
9305-CDSKC;Mulher;0;Não;Não;8;Sim;Sim;Fibra Ótica;Não;Não;Sim;Não;Sim;Sim;Mês a Mês;Sim;Pagamento digital;99.65;820.5;Sim
1452-KIOVK;Homem;0;Não;Sim;22;Sim;Sim;Fibra Ótica;Não;Sim;Não;Não;Sim;Não;Mês a Mês;Sim;Cartão de Crédito;89.1;1949.4;Não
6713-OKOMC;Mulher;0;Não;Não;10;Não;Não;DSL;Sim;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;29.75;301.9;Não
7892-POOKP;Mulher;0;Sim;Não;28;Sim;Sim;Fibra Ótica;Não;Não;Sim;Sim;Sim;Sim;Mês a Mês;Sim;Pagamento digital;104.8;3046.05;Sim
6388-TABGU;Homem;0;Não;Sim;62;Sim;Não;DSL;Sim;Sim;Não;Não;Não;Não;Um ano;Não;Débito automatico;56.15;3487.95;Não
9763-GRSKD;Homem;0;Sim;Sim;13;Sim;Não;DSL;Sim;Não;Não;Não;Não;Não;Mês a Mês;Sim;Boleto;49.95;587.45;Não
7469-LKBCI;Homem;0;Não;Não;16;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Cartão de Crédito;18.95;326.8;Não
8091-TTVAX;Homem;0;Sim;Não;58;Sim;Sim;Fibra Ótica;Não;Não;Sim;Não;Sim;Sim;Um ano;Não;Cartão de Crédito;100.35;5681.1;Não
0280-XJGEX;Homem;0;Não;Não;49;Sim;Sim;Fibra Ótica;Não;Sim;Sim;Não;Sim;Sim;Mês a Mês;Sim;Débito automatico;103.7;5036.3;Sim
5129-JLPIS;Homem;0;Não;Não;25;Sim;Não;Fibra Ótica;Sim;Não;Sim;Sim;Sim;Sim;Mês a Mês;Sim;Pagamento digital;105.5;2686.05;Não
3655-SNQYZ;Mulher;0;Sim;Sim;69;Sim;Sim;Fibra Ótica;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Não;Cartão de Crédito;113.25;7895.15;Não
8191-XWSZG;Mulher;0;Não;Não;52;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Um ano;Não;Boleto;20.65;1022.95;Não
9959-WOFKT;Homem;0;Não;Sim;71;Sim;Sim;Fibra Ótica;Sim;Não;Sim;Não;Sim;Sim;Dois anos;Não;Débito automatico;106.7;7382.25;Não
4190-MFLUW;Mulher;0;Sim;Sim;10;Sim;Não;DSL;Não;Não;Sim;Sim;Não;Não;Mês a Mês;Não;Cartão de Crédito;55.2;528.35;Sim
4183-MYFRB;Mulher;0;Não;Não;21;Sim;Não;Fibra Ótica;Não;Sim;Sim;Não;Não;Sim;Mês a Mês;Sim;Pagamento digital;90.05;1862.9;Não
8779-QRDMV;Homem;1;Não;Não;1;Não;Não;DSL;Não;Não;Sim;Não;Não;Sim;Mês a Mês;Sim;Pagamento digital;39.65;39.65;Sim
1680-VDCWW;Homem;0;Sim;Não;12;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Um ano;Não;Débito automatico;19.8;202.25;Não
1066-JKSGK;Homem;0;Não;Não;1;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;20.15;20.15;Sim
3638-WEABW;Mulher;0;Sim;Não;58;Sim;Sim;DSL;Não;Sim;Não;Sim;Não;Não;Dois anos;Sim;Cartão de Crédito;59.9;3505.1;Não
6322-HRPFA;Homem;0;Sim;Sim;49;Sim;Não;DSL;Sim;Sim;Não;Sim;Não;Não;Mês a Mês;Não;Cartão de Crédito;59.6;2970.3;Não
6865-JZNKO;Mulher;0;Não;Não;30;Sim;Não;DSL;Sim;Sim;Não;Não;Não;Não;Mês a Mês;Sim;Débito automatico;55.3;1530.6;Não
6467-CHFZW;Homem;0;Sim;Sim;47;Sim;Sim;Fibra Ótica;Não;Sim;Não;Não;Sim;Sim;Mês a Mês;Sim;Pagamento digital;99.35;4749.15;Sim
8665-UTDHZ;Homem;0;Sim;Sim;1;Não;Não;DSL;Não;Sim;Não;Não;Não;Não;Mês a Mês;Não;Pagamento digital;30.2;30.2;Sim
5248-YGIJN;Homem;0;Sim;Não;72;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Cartão de Crédito;90.25;6369.45;Não
